2025-02-11 19:58:10,063 - ERROR - Error applying accent color to tabview: ['button_color', 'button_hover_color', 'selected_button_color'] are not supported arguments. Look at the documentation for supported arguments.
2025-02-11 19:58:22,116 - ERROR - Error applying accent color to tabview: ['button_color', 'button_hover_color', 'selected_button_color'] are not supported arguments. Look at the documentation for supported arguments.
2025-02-11 19:58:52,147 - ERROR - Error applying accent color to tabview: ['button_color', 'button_hover_color', 'selected_button_color'] are not supported arguments. Look at the documentation for supported arguments.
2025-02-11 19:59:53,096 - ERROR - Error applying accent color to tabview: ['button_color', 'button_hover_color', 'selected_button_color'] are not supported arguments. Look at the documentation for supported arguments.
2025-02-11 20:01:36,549 - ERROR - Error applying accent color to tabview: ['button_color', 'button_hover_color', 'selected_button_color'] are not supported arguments. Look at the documentation for supported arguments.
2025-02-11 20:03:46,121 - ERROR - Error applying accent color to tabview: ['button_color', 'button_hover_color', 'selected_button_color'] are not supported arguments. Look at the documentation for supported arguments.
2025-02-11 20:05:58,302 - ERROR - Error applying accent color to tabview: ['button_color', 'button_hover_color', 'selected_button_color'] are not supported arguments. Look at the documentation for supported arguments.
2025-02-11 20:07:50,768 - ERROR - Error applying accent color to tabview: ['button_color', 'button_hover_color', 'selected_button_color'] are not supported arguments. Look at the documentation for supported arguments.
2025-02-11 20:07:59,241 - ERROR - Error applying accent color to tabview: ['button_color', 'button_hover_color', 'selected_button_color'] are not supported arguments. Look at the documentation for supported arguments.
2025-02-11 20:08:18,933 - ERROR - Error applying accent color to tabview: ['button_color', 'button_hover_color', 'selected_button_color'] are not supported arguments. Look at the documentation for supported arguments.
2025-02-11 20:11:11,953 - ERROR - Error applying accent color to tabview: ['button_color', 'button_hover_color', 'selected_button_color', 'selected_text_color'] are not supported arguments. Look at the documentation for supported arguments.
2025-02-11 20:11:41,698 - ERROR - Error applying accent color to tabview: ['button_color', 'button_hover_color', 'selected_button_color', 'selected_text_color'] are not supported arguments. Look at the documentation for supported arguments.
2025-02-11 20:12:01,497 - ERROR - Error applying accent color to tabview: ['button_color', 'button_hover_color', 'selected_button_color', 'selected_text_color'] are not supported arguments. Look at the documentation for supported arguments.
2025-02-11 20:12:31,092 - ERROR - Error applying accent color to tabview: ['button_color', 'button_hover_color', 'selected_button_color', 'selected_text_color'] are not supported arguments. Look at the documentation for supported arguments.
2025-02-11 20:12:39,312 - ERROR - Error applying accent color to tabview: ['button_color', 'button_hover_color', 'selected_button_color', 'selected_text_color'] are not supported arguments. Look at the documentation for supported arguments.
2025-02-11 20:12:57,848 - ERROR - Error applying accent color to tabview: ['button_color', 'button_hover_color', 'selected_button_color', 'selected_text_color'] are not supported arguments. Look at the documentation for supported arguments.
2025-02-11 20:16:02,801 - ERROR - Error applying accent color to tabview: ['button_color', 'button_hover_color', 'selected_button_color', 'selected_text_color', 'border_color', 'text_font'] are not supported arguments. Look at the documentation for supported arguments.
2025-02-11 20:16:31,676 - ERROR - Error applying accent color to tabview: ['button_color', 'button_hover_color', 'selected_button_color', 'selected_text_color', 'border_color', 'text_font'] are not supported arguments. Look at the documentation for supported arguments.
2025-02-11 20:16:58,921 - ERROR - Error applying accent color to tabview: ['button_color', 'button_hover_color', 'selected_button_color', 'selected_text_color', 'border_color', 'text_font'] are not supported arguments. Look at the documentation for supported arguments.
2025-02-11 20:17:23,967 - ERROR - Error applying accent color to tabview: ['button_color', 'button_hover_color', 'selected_button_color', 'selected_text_color', 'border_color', 'text_font'] are not supported arguments. Look at the documentation for supported arguments.
2025-02-11 20:17:31,796 - ERROR - Error applying accent color to tabview: ['button_color', 'button_hover_color', 'selected_button_color', 'selected_text_color', 'border_color', 'text_font'] are not supported arguments. Look at the documentation for supported arguments.
2025-02-11 20:17:39,436 - ERROR - Error applying accent color to tabview: ['button_color', 'button_hover_color', 'selected_button_color', 'selected_text_color', 'border_color', 'text_font'] are not supported arguments. Look at the documentation for supported arguments.
2025-02-11 20:19:04,446 - ERROR - Error applying accent color to tabview: ['button_color', 'button_hover_color', 'selected_button_color', 'selected_text_color', 'hover_color', 'border_color', 'text_font'] are not supported arguments. Look at the documentation for supported arguments.
2025-02-11 20:19:13,790 - ERROR - Error applying accent color to tabview: ['button_color', 'button_hover_color', 'selected_button_color', 'selected_text_color', 'hover_color', 'border_color', 'text_font'] are not supported arguments. Look at the documentation for supported arguments.
2025-02-11 20:19:32,327 - ERROR - Error applying accent color to tabview: ['button_color', 'button_hover_color', 'selected_button_color', 'selected_text_color', 'hover_color', 'border_color', 'text_font'] are not supported arguments. Look at the documentation for supported arguments.
2025-02-11 20:19:58,332 - ERROR - Error applying accent color to tabview: ['button_color', 'button_hover_color', 'selected_button_color', 'selected_text_color', 'border_color', 'text_font'] are not supported arguments. Look at the documentation for supported arguments.
2025-02-11 20:20:06,538 - ERROR - Error applying accent color to tabview: ['button_color', 'button_hover_color', 'selected_button_color', 'selected_text_color', 'border_color', 'text_font'] are not supported arguments. Look at the documentation for supported arguments.
2025-02-11 20:20:18,223 - ERROR - Error applying accent color to tabview: ['button_color', 'button_hover_color', 'selected_button_color', 'selected_text_color', 'border_color', 'text_font'] are not supported arguments. Look at the documentation for supported arguments.
2025-02-11 20:21:01,195 - ERROR - Error applying accent color to tabview: ['button_color', 'button_hover_color', 'selected_button_color', 'selected_text_color', 'border_color', 'text_font'] are not supported arguments. Look at the documentation for supported arguments.
2025-02-11 20:21:19,651 - ERROR - Error applying accent color to tabview: ['button_color', 'button_hover_color', 'selected_button_color', 'selected_text_color', 'border_color', 'text_font'] are not supported arguments. Look at the documentation for supported arguments.
2025-02-11 20:22:03,829 - ERROR - Error applying accent color to tabview: ['button_color', 'button_hover_color', 'selected_button_color', 'selected_text_color', 'border_color', 'text_font'] are not supported arguments. Look at the documentation for supported arguments.
